ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-27,2.4764019223808535,-0.47141092073581137,7.386909121242746,2.4764019223808535,2.4764019223808535,1.1598255092275886,1.1598255092275886,1.1598255092275886,-0.195457198683503,-0.195457198683503,-0.195457198683503,1.3552827079110916,1.3552827079110916,1.3552827079110916,0.0,0.0,0.0,3.636227431608442
2023-08-28,2.4762842606118913,-0.5898289895237315,7.8289526213503375,2.4762842606118913,2.4762842606118913,1.3606357403592615,1.3606357403592615,1.3606357403592615,0.1509389877031826,0.1509389877031826,0.1509389877031826,1.2096967526560791,1.2096967526560791,1.2096967526560791,0.0,0.0,0.0,3.836920000971153
2023-08-29,2.476166598842929,-0.33857663986947356,7.4036202252186145,2.476166598842929,2.476166598842929,1.0711381259502244,1.0711381259502244,1.0711381259502244,0.011571947576585005,0.011571947576585005,0.011571947576585005,1.0595661783736392,1.0595661783736392,1.0595661783736392,0.0,0.0,0.0,3.5473047247931535
2023-08-30,2.476048937073967,-0.5850766202786798,6.964963563991077,2.476048937073967,2.476048937073967,0.968673356437972,0.968673356437972,0.968673356437972,0.061383157158080265,0.061383157158080265,0.061383157158080265,0.9072901992798919,0.9072901992798919,0.9072901992798919,0.0,0.0,0.0,3.444722293511939
2023-08-31,2.4759312753050042,-0.8515217523418109,6.990557550718488,2.4759312753050042,2.4759312753050042,0.7376065484094373,0.7376065484094373,0.7376065484094373,-0.017713170534972122,-0.017713170534972122,-0.017713170534972122,0.7553197189444093,0.7553197189444093,0.7553197189444093,0.0,0.0,0.0,3.2135378237144416
2023-09-01,2.4758136135360425,-0.9816044876689352,6.653411581125474,2.4758136135360425,2.4758136135360425,0.5707434435478881,0.5707434435478881,0.5707434435478881,-0.03535328258234674,-0.03535328258234674,-0.03535328258234674,0.6060967261302349,0.6060967261302349,0.6060967261302349,0.0,0.0,0.0,3.0465570570839304
2023-09-02,2.4756959517670802,-0.9334759901792518,7.039294773574198,2.4756959517670802,2.4756959517670802,0.48662359829795343,0.48662359829795343,0.48662359829795343,0.024629559362250506,0.024629559362250506,0.024629559362250506,0.4619940389357029,0.4619940389357029,0.4619940389357029,0.0,0.0,0.0,2.9623195500650334
2023-09-03,2.4755782899981176,-1.0022546269633907,6.497422002227777,2.4755782899981176,2.4755782899981176,0.12979985643578335,0.12979985643578335,0.12979985643578335,-0.1954571986833009,-0.1954571986833009,-0.1954571986833009,0.32525705511908426,0.32525705511908426,0.32525705511908426,0.0,0.0,0.0,2.605378146433901
2023-09-04,2.475460628229156,-0.87204754154799,6.6832115354243955,2.475460628229156,2.475460628229156,0.34888809052571473,0.34888809052571473,0.34888809052571473,0.15093898770324926,0.15093898770324926,0.15093898770324926,0.19794910282246547,0.19794910282246547,0.19794910282246547,0.0,0.0,0.0,2.8243487187548704
2023-09-05,2.4753429664601936,-0.9684273652346957,6.411563933294876,2.4753429664601936,2.4753429664601936,0.09347382472885538,0.09347382472885538,0.09347382472885538,0.011571947577322337,0.011571947577322337,0.011571947577322337,0.08190187715153303,0.08190187715153303,0.08190187715153303,0.0,0.0,0.0,2.568816791189049
2023-09-06,2.4752253046912314,-1.363183357362413,6.786340093972318,2.4752253046912314,2.4752253046912314,0.040055454681565045,0.040055454681565045,0.040055454681565045,0.061383157157850025,0.061383157157850025,0.061383157157850025,-0.021327702476284984,-0.021327702476284984,-0.021327702476284984,0.0,0.0,0.0,2.5152807593727964
2023-09-07,2.4751076429222687,-1.612524754204133,6.0661768368798095,2.4751076429222687,2.4751076429222687,-0.12820623764604808,-0.12820623764604808,-0.12820623764604808,-0.017713170533952837,-0.017713170533952837,-0.017713170533952837,-0.11049306711209522,-0.11049306711209522,-0.11049306711209522,0.0,0.0,0.0,2.3469014052762205
2023-09-08,2.474989981153307,-1.6115863360494085,6.235453293335843,2.474989981153307,2.474989981153307,-0.22003836021340367,-0.22003836021340367,-0.22003836021340367,-0.03535328258178976,-0.03535328258178976,-0.03535328258178976,-0.18468507763161388,-0.18468507763161388,-0.18468507763161388,0.0,0.0,0.0,2.254951620939903
2023-09-09,2.4748723193843447,-1.6728247952506639,6.242447589593327,2.4748723193843447,2.4748723193843447,-0.21872036652860669,-0.21872036652860669,-0.21872036652860669,0.024629559361780795,0.024629559361780795,0.024629559361780795,-0.24334992589038748,-0.24334992589038748,-0.24334992589038748,0.0,0.0,0.0,2.256151952855738
2023-09-10,2.474754657615382,-2.039547216301861,5.498401428441499,2.474754657615382,2.474754657615382,-0.48175463648227623,-0.48175463648227623,-0.48175463648227623,-0.19545719868329678,-0.19545719868329678,-0.19545719868329678,-0.2862974377989795,-0.2862974377989795,-0.2862974377989795,0.0,0.0,0.0,1.9930000211331058
2023-09-11,2.4746369958464203,-1.2747632010972942,6.202657750176065,2.4746369958464203,2.4746369958464203,-0.16276064406100815,-0.16276064406100815,-0.16276064406100815,0.15093898770290748,0.15093898770290748,0.15093898770290748,-0.3136996317639156,-0.3136996317639156,-0.3136996317639156,0.0,0.0,0.0,2.311876351785412
2023-09-12,2.474519334077458,-1.5602181155418748,5.963840342199747,2.474519334077458,2.474519334077458,-0.31450771422319657,-0.31450771422319657,-0.31450771422319657,0.011571947576913152,0.011571947576913152,0.011571947576913152,-0.3260796618001097,-0.3260796618001097,-0.3260796618001097,0.0,0.0,0.0,2.1600116198542616
2023-09-13,2.4744016723084954,-1.8028677625781877,6.297852773582941,2.4744016723084954,2.4744016723084954,-0.2629083878799334,-0.2629083878799334,-0.2629083878799334,0.06138315715761978,0.06138315715761978,0.06138315715761978,-0.32429154503755325,-0.32429154503755325,-0.32429154503755325,0.0,0.0,0.0,2.211493284428562
2023-09-14,2.474284010539533,-1.840573796711389,6.039687283727951,2.474284010539533,2.474284010539533,-0.32720450109660565,-0.32720450109660565,-0.32720450109660565,-0.017713170534554602,-0.017713170534554602,-0.017713170534554602,-0.309491330562051,-0.309491330562051,-0.309491330562051,0.0,0.0,0.0,2.1470795094429276
